0000000001111001	=	121			1000000001111001	=	32889
0000000001111010	=	122			1000000001111010	=	32890
0000000001111011	=	123			1000000001111011	=	32891
0000000001111100	=	124			1000000001111100	=	32892
0000000001111101	=	125			1000000001111101	=	32893
0000000001111110	=	126			1000000001111110	=	32894
0000000001111111	=	127			1000000001111111	=	32895
0000000010000000	=	128			1000000010000000	=	32896
0000000010000001	=	129			1000000010000001	=	32897
0000000010000010	=	130			1000000010000010	=	32898
0000000010000011	=	131			1000000010000011	=	32899
0000000010000100	=	132			1000000010000100	=	32900
0000000010000101	=	133			1000000010000101	=	32901
0000000010000110	=	134			1000000010000110	=	32902
0000000010000111	=	135			1000000010000111	=	32903
0000000010001000	=	136			1000000010001000	=	32904
0000000010001001	=	137			1000000010001001	=	32905
0000000010001010	=	138			1000000010001010	=	32906
0000000010001011	=	139			1000000010001011	=	32907
0000000010001100	=	140			1000000010001100	=	32908
0000000010001101	=	141			1000000010001101	=	32909
0000000010001110	=	142			1000000010001110	=	32910
0000000010001111	=	143			1000000010001111	=	32911
0000000010010000	=	144			1000000010010000	=	32912
0000000010010001	=	145			1000000010010001	=	32913
0000000010010010	=	146			1000000010010010	=	32914
0000000010010011	=	147			1000000010010011	=	32915
0000000010010100	=	148			1000000010010100	=	32916
0000000010010101	=	149			1000000010010101	=	32917
0000000010010110	=	150			1000000010010110	=	32918
0000000010010111	=	151			1000000010010111	=	32919
0000000010011000	=	152			1000000010011000	=	32920
0000000010011001	=	153			1000000010011001	=	32921
0000000010011010	=	154			1000000010011010	=	32922
0000000010011011	=	155			1000000010011011	=	32923
0000000010011100	=	156			1000000010011100	=	32924
0000000010011101	=	157			1000000010011101	=	32925
0000000010011110	=	158			1000000010011110	=	32926
0000000010011111	=	159			1000000010011111	=	32927
0000000010100000	=	160			1000000010100000	=	32928
0000000010100001	=	161			1000000010100001	=	32929
0000000010100010	=	162			1000000010100010	=	32930
0000000010100011	=	163			1000000010100011	=	32931
0000000010100100	=	164			1000000010100100	=	32932
0000000010100101	=	165			1000000010100101	=	32933
0000000010100110	=	166			1000000010100110	=	32934
0000000010100111	=	167			1000000010100111	=	32935
0000000010101000	=	168			1000000010101000	=	32936
